Timestamp,pid0,cpu0,ram0,pid1,cpu1,ram1,pid2,cpu2,ram2,cpumysql,rammysql
1660491271,-1,0,0,201492,0.0,2.8,224284,0.0,2.8,0.0,2.8
1660491272,-1,0,0,201492,0.0,2.8,224284,26.7,2.8,100.0,2.8
1660491273,-1,0,0,201492,133.3,2.8,224284,133.3,2.8,46.7,2.8
1660491274,-1,0,0,201492,13.3,2.8,224284,0.0,2.8,0.0,2.8
1660491275,-1,0,0,201492,40.0,2.8,224284,113.3,2.8,133.3,2.8
1660491276,-1,0,0,201492,166.7,2.8,224284,153.3,2.8,160.0,2.8
1660491277,-1,0,0,201492,113.3,2.8,224284,86.7,2.8,100.0,2.8
1660491278,-1,0,0,201492,186.7,2.8,224284,200.0,2.8,166.7,2.8
1660491279,-1,0,0,201492,126.7,2.8,224284,126.7,2.8,120.0,2.8
1660491281,-1,0,0,201492,100.0,2.8,224284,140.0,2.8,93.3,2.8
1660491282,224284,93.3,2.8,224306,100.0,2.8,224324,66.7,2.8,100.0,2.8
1660491283,224284,126.7,2.8,224306,126.7,2.8,224324,106.7,2.8,53.3,2.8
1660491284,224284,20.0,2.8,224306,13.3,2.8,224324,0.0,2.8,40.0,2.8
1660491286,224284,20.0,2.8,224306,6.7,2.8,224324,0.0,2.8,0.0,2.8
1660491287,224284,20.0,2.8,224306,0.0,2.8,224324,0.0,2.8,26.7,2.8
1660491288,224284,93.3,2.8,224306,20.0,2.8,224324,0.0,2.8,6.7,2.8
1660491289,224284,31.2,2.8,224306,86.7,2.8,224324,40.0,2.8,66.7,2.8
1660491291,224284,6.7,2.8,224306,0.0,2.8,224324,0.0,2.8,0.0,2.8
1660491292,224284,0.0,2.8,224306,40.0,2.8,224324,86.7,2.8,93.3,2.8
1660491293,224284,126.7,2.8,224306,206.7,2.8,224324,193.3,2.8,120.0,2.8
1660491294,224284,26.7,2.8,224306,73.3,2.8,224324,86.7,2.8,100.0,2.8
1660491296,224284,133.3,2.8,224306,131.2,2.8,224324,153.3,2.8,153.3,2.8
1660491297,224284,81.2,2.8,224306,126.7,2.8,224324,100.0,2.8,126.7,2.8
1660491298,224284,13.3,2.8,224306,18.8,2.8,224324,0.0,2.8,6.7,2.8
1660491300,224284,37.5,2.8,224306,0.0,2.8,224324,26.7,2.8,6.7,2.8
1660491301,224284,0.0,2.8,224306,46.7,2.8,224324,86.7,2.8,53.3,2.8
1660491302,224284,0.0,2.8,224306,13.3,2.8,224324,0.0,2.8,0.0,2.8
1660491303,224284,0.0,2.8,224306,6.7,2.8,224324,6.7,2.8,13.3,2.8
1660491305,224284,0.0,2.8,224306,0.0,2.8,224324,0.0,2.8,6.7,2.8
1660491306,224284,113.3,2.8,224306,100.0,2.8,224324,53.3,2.8,0.0,2.8
1660491307,224284,20.0,2.8,224306,93.3,2.8,224324,160.0,2.8,113.3,2.8
1660491308,224284,180.0,2.8,224306,126.7,2.8,224324,153.3,2.8,193.3,2.8
1660491310,224284,126.7,2.8,224306,166.7,2.8,224324,146.7,2.8,126.7,2.8
1660491311,224284,173.3,2.8,224306,113.3,2.8,224324,133.3,2.8,140.0,2.8
1660491312,-1,0,0,224306,87.5,2.8,224324,0.0,2.8,86.7,2.8
1660491313,-1,0,0,224306,0.0,2.8,224324,13.3,2.8,6.7,2.8
1660491314,-1,0,0,224306,20.0,2.8,224324,6.7,2.8,33.3,2.8
1660491315,-1,0,0,224306,140.0,2.8,224324,156.2,2.8,153.3,2.8
1660491316,-1,0,0,224306,113.3,2.8,224324,162.5,2.8,186.7,2.8
1660491318,-1,0,0,224306,0.0,2.8,224324,0.0,2.8,0.0,2.8
1660491319,-1,0,0,224306,0.0,2.8,224324,86.7,2.8,20.0,2.8
1660491320,-1,0,0,224306,0.0,2.8,224324,0.0,2.8,0.0,2.8
1660491321,-1,0,0,224306,20.0,2.8,224324,26.7,2.8,20.0,2.8
1660491322,-1,0,0,224306,6.7,2.8,224324,0.0,2.8,6.2,2.8
1660491323,-1,0,0,224306,13.3,2.8,224324,0.0,2.8,0.0,2.8
1660491324,-1,0,0,224306,0.0,2.8,224324,0.0,2.8,13.3,2.8
1660491325,-1,0,0,224306,0.0,2.8,224324,0.0,2.8,0.0,2.8
1660491326,-1,0,0,224306,6.7,2.8,224324,73.3,2.8,120.0,2.8
1660491327,-1,0,0,224306,0.0,2.8,224324,0.0,2.8,0.0,2.8
1660491328,-1,0,0,224306,93.3,2.8,224324,6.7,2.8,0.0,2.8
1660491329,-1,0,0,224306,0.0,2.8,224324,0.0,2.8,0.0,2.8
