Timestamp,Porta Cambiata,Aperto,Server Rimanenti
1660491474,0,0,2
1660491475,0,0,2
1660491476,0,0,2
1660491477,0,0,2
1660491478,0,0,2
1660491479,0,0,2
1660491480,0,0,2
1660491481,0,0,2
1660491482,0,0,2
1660491483,0,0,2
1660491484,0,0,2
1660491485,0,0,2
1660491486,0,0,2
1660491487,0,0,2
1660491488,0,0,2
1660491489,0,0,2
1660491490,0,0,2
1660491491,0,0,2
1660491492,0,0,2
1660491493,0,0,2
1660491494,0,0,2
1660491495,0,0,2
1660491496,0,0,2
1660491497,0,0,2
1660491498,0,0,2
1660491499,0,0,2
1660491500,0,0,2
1660491501,0,0,2
1660491502,0,0,2
1660491503,0,0,2
1660491504,0,0,2
1660491505,0,0,2
1660491506,0,0,2
1660491507,0,0,2
1660491508,0,0,2
1660491509,0,0,2
1660491510,0,0,2
1660491511,0,0,2
1660491512,0,0,2
1660491513,0,0,2
1660491514,0,0,2
1660491515,0,0,2
1660491516,0,0,2
1660491517,0,0,2
1660491518,0,0,2
1660491519,0,0,2
1660491520,0,0,2
1660491521,0,0,2
1660491522,0,0,2
1660491523,0,0,2
1660491524,5123,-1,1
1660491524,0,0,1
1660491525,0,0,1
1660491526,0,0,1
1660491527,0,0,1
1660491528,0,0,1
1660491529,0,0,1
1660491530,0,0,1
1660491531,0,0,1
1660491532,0,0,1
1660491533,0,0,1
1660491534,0,0,1
1660491535,0,0,1
1660491536,0,0,1
1660491537,0,0,1
1660491538,0,0,1
1660491540,0,0,1
1660491541,0,0,1
1660491542,0,0,1
1660491543,0,0,1
1660491544,0,0,1
1660491545,0,0,1
1660491546,0,0,1
1660491547,0,0,1
1660491548,0,0,1
1660491549,0,0,1
1660491550,0,0,1
1660491551,0,0,1
1660491552,0,0,1
1660491553,0,0,1
1660491554,0,0,1
1660491555,0,0,1
1660491556,0,0,1
1660491557,0,0,1
1660491558,0,0,1
1660491559,0,0,1
1660491560,0,0,1
1660491561,0,0,1
1660491562,0,0,1
1660491563,5123,1,2
1660491563,0,0,2
1660491564,0,0,2
1660491565,0,0,2
1660491566,0,0,2
1660491567,0,0,2
1660491568,0,0,2
1660491569,0,0,2
1660491570,0,0,2
1660491571,0,0,2
1660491572,0,0,2
1660491573,0,0,2
1660491574,0,0,2
1660491575,0,0,2
1660491576,0,0,2
1660491577,0,0,2
1660491578,0,0,2
1660491579,0,0,2
1660491580,0,0,2
1660491581,0,0,2
1660491582,0,0,2
1660491583,0,0,2
1660491584,0,0,2
